                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4103,                 4.8646,                 3.0718,                 1.3905,                0.01267,                0.46341,                0.09339,                0.04713,                0.01067,                0.39024,                0.03569,                0.01375,                 1.1165,                 3.8372,                 3.1966,                 1.4026,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.4929,                 4.0061,                 3.1488,                 1.3843,                  0.014,                 0.5122,                0.12517,                0.06389,                0.01133,                0.41463,                0.10564,                0.03291,                 1.0173,                 3.5408,                  3.128,                 1.2734,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 1.2725,                 3.5326,                 3.0992,                  1.229,                  0.016,                0.58537,                0.10815,                0.06433,                  0.014,                 0.5122,                0.10295,                0.03133,                  1.001,                 3.0175,                 3.0566,                 1.1945,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.1511,                 2.9336,                  2.893,                 1.1358,                0.01733,                0.63415,                0.09314,                0.05172,                0.01333,                 0.4878,                0.04927,                0.02037,                 1.1462,                 2.9239,                  3.017,                 1.2276,             0.00013168,             0.00013168,             0.00013168
                      5,                 1.2666,                 3.0486,                 2.6979,                 1.1607,                0.01733,                0.63415,                0.09577,                0.05578,                0.01467,                0.53659,                0.04248,                0.01867,                 1.1466,                 3.0197,                 2.9855,                 1.2067,             0.00016574,             0.00016574,             0.00016574
                      6,                 1.2433,                 2.6584,                 2.4804,                 1.0814,                0.01867,                0.68293,                0.11696,                0.06972,                0.01533,                0.56098,                0.04744,                0.01471,                 1.0413,                 3.1408,                 2.9468,                 1.1572,             0.00019822,             0.00019822,             0.00019822
                      7,                 1.1984,                 2.6011,                 2.0209,                 1.0648,                0.02067,                 0.7561,                0.13701,                0.09488,                  0.016,                0.58537,                0.06999,                0.02501,                  0.935,                 3.2397,                  2.875,                 1.1056,             0.00022911,             0.00022911,             0.00022911
                      8,                 1.1437,                 2.3153,                 1.7376,                  1.081,                   0.02,                0.73171,                0.16082,                0.11647,                0.01733,                0.63415,                0.11414,                0.03881,                0.95627,                 3.1691,                 2.8142,                 1.1081,             0.00025842,             0.00025842,             0.00025842
                      9,                 1.2161,                 2.5252,                 1.4544,                 1.0896,                0.01933,                0.70732,                0.14681,                0.10629,                  0.016,                0.58537,                0.12369,                 0.0431,                0.98135,                 3.0755,                 2.7839,                 1.1284,             0.00028614,             0.00028614,             0.00028614
                     10,                  1.094,                 2.3704,                 1.3339,                 1.0454,                   0.02,                0.73171,                0.16017,                0.11209,                  0.016,                0.58537,                0.07708,                 0.0393,                0.98697,                 3.0037,                 2.7444,                 1.1077,             0.00031228,             0.00031228,             0.00031228
